Country,Agriculture,Business,Construction,Realestate,Finance,Manufacturing,Mining,Otherservices,Utilities,Government,Transport,Trade
AUS,1,.75999999,1.03,.60000002,.75999999,.77999997,.41,.85000002,.41999999,1.0700001,.81999999,1.02
BEL,1,.69,2.9300001,.81999999,1.01,.49000001,.56,.83999997,.27000001,.99000001,1.61,1.01
CZE,1,1.22,7.1599998,2.22,1.53,.72000003,.41999999,1.7,.49000001,3.49,.050000001,1.85
DEU,1,.93000001,1.95,1.1900001,1.16,.87,.81999999,1,.23999999,1.45,1.33,1.75
DNK,1,.64999998,2.3499999,.64999998,.82999998,.50999999,1.05,.56999999,.23,1.0599999,.19,.92000002
ESP,1,.81999999,4.5999999,1.12,1.13,.61000001,.43000001,.99000001,.28999999,1.5,1.62,.94999999
FIN,1,.94999999,2.1600001,1,1.45,.82999998,.99000001,.94999999,.64999998,1.5700001,1.05,1.89
FRA,1,1.0599999,2.96,1.29,2.1900001,1.02,.98000002,1.22,.55000001,1.85,1.03,1.21
GBR,1,.99000001,3.8800001,.72000003,1.14,1.1799999,1.34,1.21,.57999998,1.61,1.22,1.52
GRC,1,1.52,16.200001,3.3099999,1.4299999,1.0599999,.52999997,2.24,.94,3.3499999,.91000003,1.36
HUN,1,1.36,9.3400002,3.4100001,2.1199999,.73000002,.40000001,2.1600001,.94999999,3.8099999,0,2.4100001
IRL,1,1.03,2.27,1.01,1.1,1.01,.87,1.22,.75999999,1.4,.93000001,1.08
ITA,1,1.23,8.1999998,1.85,1.59,.93000001,1.62,1.4400001,.55000001,1.79,.99000001,1.85
JPN,1,4.4400001,6.48,6.3800001,8.8199997,5.8400002,2.1700001,4.3299999,2.6600001,9.21,0,4.2800002
KOR,1,3.3800001,26.91,7.7199998,4.75,2.72,1.1799999,5.2600002,5.1199999,7.8099999,0,4.4499998
LUX,1,1.15,2.1500001,.95999998,1.52,.94,.75,1.24,.95999998,1.1900001,.88,2.29
NLD,1,.85000002,2.78,.79000002,1.15,.63999999,.91000003,1.05,.49000001,1.22,1.3099999,.81
POL,1,1.42,6.27,6.2600002,1.41,.81999999,.34,1.91,.56999999,3.5999999,.36000001,1.27
PRT,1,1,11.79,1.8099999,1.24,.54000002,.47,1.35,.30000001,2.01,1.4299999,1.55
SVK,1,1.11,6.8200002,1.75,1.28,.63,.51999998,1.61,.61000001,3.47,1.39,1.52
USA,1,1,1,1,1,1,1,1,1,1,1,1
